Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,265
Bangkok,9552
Bueng Kan,≤100
Buriram,334
Chachoengsao,270
Chai Nat,≤100
Chaiyaphum,252
Chanthaburi,179
Chiang Mai,1082
Chiang Rai,394
Chon Buri,724
Chumphon,189
Kalasin,169
Kamphaeng Phet,157
Kanchanaburi,241
Khon Kaen,669
Krabi,202
Lampang,225
Lamphun,162
Loei,144
Lop Buri,164
Mae Hong Son,106
Maha Sarakham,258
Mukdahan,≤100
Nakhon Nayok,930
Nakhon Pathom,261
Nakhon Phanom,153
Nakhon Ratchasima,820
Nakhon Sawan,247
Nakhon Si Thammarat,509
Nan,116
Narathiwat,202
Nong Bua Lam Phu,≤100
Nong Khai,113
Nonthaburi,555
Pathum Thani,517
Pattani,215
Phangnga,110
Phatthalung,265
Phayao,139
Phetchabun,217
Phetchaburi,172
Phichit,153
Phitsanulok,721
Phrae,125
Phuket,274
Prachin Buri,222
Prachuap Khiri Khan,221
Ranong,≤100
Ratchaburi,230
Rayong,347
Roi Et,284
Sa Kaeo,179
Sakon Nakhon,289
Samut Prakan,268
Samut Sakhon,205
Samut Songkhram,≤100
Saraburi,256
Satun,≤100
Sing Buri,≤100
Sisaket,285
Songkhla,626
Sukhothai,152
Suphan Buri,232
Surat Thani,410
Surin,326
Tak,180
Trang,206
Trat,≤100
Ubon Ratchathani,476
Udon Thani,390
Unknown,≤100
Uthai Thani,≤100
Uttaradit,114
Yala Province,181
Yasothon,327
