Location name,Amount spent (EUR)
Alsace,883
Aquitaine,1363
Auvergne,433
Basse-Normandie,520
Bourgogne,602
Bretagne,1171
Centre,962
Champagne-Ardenne,446
Corse,149
Franche-Comté,393
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,803
Languedoc-Roussillon,1207
Limousin,258
Lorraine,1058
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1125
New Caledonia,≤100
Nord-Pas-de-Calais,1435
Pays de la Loire,1338
Picardie,648
Poitou-Charentes,669
Provence-Alpes-Côte d'Azur,2308
Reunion Island,≤100
Rhône-Alpes,2426
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4662
