Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,1239973,55
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,626781,48
377334062304350,Secretaría de Educación de Bogotá,Secretaría de Educación de Bogotá,374444,6
251292808253299,Canadian College,Canadian College,342210,14
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,254511,24
101071764864119,Dulce Veneno,Dulce Veneno,246211,12
321789057890530,Secretaría de Movilidad,Secretaría de Movilidad,244371,9
256488875025665,Juan Bocanegra,Juan Carlos Bocanegra Chacón,208764,2
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,193469,1
360840354678432,MK Team 24 7,Michel Wadih Kafruni Marin,116866,1
417060811811167,Juan David Duque García,Juan David Duque Garcia,113181,8
648195945371422,Fundación Hablemos,FUNDACIÓN HABLEMOS,108896,2
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,103896,7
130834367164,Red PaPaz,Red PaPaz,94786,11
102332121627586,Alcaldia Municipal de Morelia Caquetá,Tuto Gonzalez,55492,4
103833791361048,El Legado de Álvaro Uribe Vélez,Centro Democrático - Comunidad Oficial,53948,2
1004865626202028,Jaime Peña Peñaranda,Joseph Ferney Galvis Gonzalez,50737,6
101769386141297,Congreso Nacional de Actualización Tributaria y Laboral,Julian Chuchoque,46850,1
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,45021,5
1597659560553215,Colombia+20,COMUNICAN SAS EL ESPECTADOR,44932,6
787232315012598,Cristian Barragán Correcha - Tol,Cristhian Andres Barragán Correcha,43549,2
257401965136834,Carlos Marroquín Luna Diputado,Carlos Andres Marroquin Luna,41988,1
114317847146525,Alvaro Arias Velez,TORO DIGITAL,38805,1
398954010114650,Gobernación del Departamento del Cesar,Nestor Enrique Fontalvo Albor,35907,1
1586192348316443,Maicol Lopera Cardona,Maicol Lopera,35084,3
1622001728047397,Harman Alcalde,Harman Alcalde,30459,4
108158921672438,Llener Borja,Alvaro Jose Gomez Ramirez,28299,6
437833369757523,DB MEDIA,Diana Paola Bernal Rodriguez,26768,1
765302097170348,Línea Cero,Linea Cero,23649,8
191210184867688,Julián Serna Concejal,Julian Andres Serna Ruíz,23601,1
1823807254333065,Soy Más País,Soy Mas Pais,21733,10
108946084100541,Alcaldía Cartagena Del Chairá,Tuto Gonzalez,21471,2
915743661945208,Alejandro Eder,Alejandro Eder,19398,6
398583357661790,Papo Amín,Papo Amín,17903,3
201504926957834,Luis M. Carvajalino,Luis Manuel Carvajalino Quin,17459,1
108459260282,Universidad La Gran Colombia,Universidad La Gran Colombia,17212,2
1431824383809561,Camilo Torres,Ivonne Mariana Torres Prada,17024,1
104969865721375,Profes.movimientociudadano,John Bazurto,16814,3
796134277395174,Luis Francisco Ruiz Aguilar,Luis Francisco Ruiz Aguilar,15678,2
350160788433059,Proclama Cauca y Valle,Proclama Cauca y Valle,15342,3
188371488749555,Mauro Marquez,Mauricio Marquez Valencia,14671,2
159326370815397,Alcaldía de Itagüí,Joseph Ferney Galvis Gonzalez,14552,1
85147586731,Julio César Triana,Julio César Triana,14552,1
78522143212,Fucsia,These ads ran without a disclaimer,14533,2
108875804858437,Antimilitantes,Antimilitantes,14486,7
664142747350164,Tatiana López Saldarriaga,Tatiana López Saldarriaga,14406,2
140451182823675,Edwin Palma Egea,Edwin Palma Egea,14285,1
109810958651903,Daniel Duarte Pabón candidato a Representante de los Egresados UIS 2023,Daniel F Duarte Pabón,13779,1
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,12094,2
1519006894853848,El Quindiano,EL QUINDIANO SAS,11770,2
104237548662249,Centro de Emprendimiento Impúlsate,Sebastian Galeano,11513,1
237316706446146,Alianza Francesa de Pereira,Alianza Francesa de Pereira,11297,2
