Location name,Amount spent (PKR)
Azad Kashmir,1554
Balochistan,1486
Federally Administered Tribal Areas,353
Gilgit-Baltistan,641
Islamabad Capital Territory,2750
Khyber Pakhtunkhwa,8424
Punjab,47765
Sindh,12497
Unknown,≤100
