Location name,Amount spent (LBP)
Beirut Governorate,3834549
Beqaa Governorate,1231666
Mount Lebanon Governorate,2872843
Nabatieh Governorate,473451
North Governorate,1693604
South Governorate,962597
Unknown,≤100
