Location name,Amount spent (NZD)
Auckland Region,1996
Bay of Plenty Region,364
Canterbury,661
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,184
Manawatu-Wanganui,247
Marlborough Region,≤100
Nelson Province,≤100
Niue,≤100
Northland Region,204
Otago,288
Southland,103
Taranaki,119
Tasman District,≤100
Unknown,≤100
Waikato,514
Wellington Region,514
West Coast,≤100
