Location name,Amount spent (JPY)
Aichi Prefecture,17043
Akita Prefecture,2418
Aomori Prefecture,2209
Chiba Prefecture,14902
Ehime Prefecture,2884
Fukui Prefecture,2085
Fukuoka Prefecture,32757
Fukushima Prefecture,3082
Gifu Prefecture,4283
Gunma Prefecture,4478
Hiroshima Prefecture,6278
Hokkaido,12684
Hyōgo Prefecture,16283
Ibaraki Prefecture,6370
Ishikawa Prefecture,3255
Iwate Prefecture,2472
Kagawa Prefecture,2613
Kagoshima Prefecture,3638
Kanagawa Prefecture,31375
Kumamoto Prefecture,5338
Kyoto Prefecture,8919
Kōchi Prefecture,1324
Mie Prefecture,3860
Miyagi Prefecture,13411
Miyazaki Prefecture,2925
Nagano Prefecture,4754
Nagasaki Prefecture,6404
Nara Prefecture,3462
Niigata Prefecture,4078
Okayama Prefecture,6257
Okinawa Prefecture,7517
Osaka Prefecture,28358
Saga Prefecture,3890
Saitama Prefecture,14529
Shiga Prefecture,3309
Shimane Prefecture,1718
Shizuoka Prefecture,15593
Tochigi Prefecture,3778
Tokushima Prefecture,2031
Tokyo,66682
Tottori Prefecture,883
Toyama Prefecture,2179
Unknown,≤100
Wakayama Prefecture,1893
Yamagata Prefecture,2367
Yamaguchi Prefecture,4498
Yamanashi Prefecture,2224
Ōita Prefecture,3552
