Location name,Amount spent (AUD)
Australian Capital Territory,585
Jervis Bay Territory,≤100
New South Wales,16725
Northern Territory,186
Queensland,6516
South Australia,2149
Tasmania,1144
Unknown,≤100
Victoria,7661
Western Australia,2644
