Location name,Amount spent (COP)
Amazonas,1849
Antioquia,9072904
Arauca,62748
Atlantico,846862
Bolivar,178596
Boyaca,316544
Caldas,457010
Caqueta,80823
Casanare,303417
Cauca,276630
Cesar,148742
Choco,15018
Cordoba,222908
Cundinamarca,356017
Distrito Especial,4568358
Guainia,25422
Guaviare,15298
Huila,489280
La Guajira,28465
Magdalena,128405
Meta,808919
Narino,91223
Norte de Santander,617543
Putumayo,181793
Quindio,127030
Risaralda,908106
San Andres y Providencia,4604
Santander,2118798
Sucre,523124
Tolima,290617
Unknown,158
Valle del Cauca,3109003
Vaupes,776
Vichada,1795
