Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
108922248816222,Secretaría de Participación Ciudadana,Secretaría de Participación Ciudadana,935612,22
159639460764792,LATAM Airlines,LATAM Airlines,284368,1
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,267353,5
103527991214141,Cero DICOM,Cero Dicom,232619,8
108291914947259,Mi Derecho a Educar,Felipe Varela,226312,3
1445910269057442,Desarrolla Biobío,Roberto Rolando Moreno Arenas,222298,1
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,123177,13
504040153015857,Francesca MUÑOZ Diputada Distrito 20,Francesca Muñoz,122555,1
1548643738480723,Asistencia Deudores,Asistencia Deudores,117495,2
105798328215264,Asistencia Familia,Asistencia Familia,106254,6
1396460303715065,Carozzi,Carozzi,77998,2
2257351691213562,Noticias que marcarán pauta,Noticias que marcarán pauta,55249,5
693763004821307,Gobierno Regional Metropolitano de Santiago,Metrix,55013,1
468067587027621,Mineros al día,Mineros al día,50431,5
102019462029011,V más V,V más V,50374,5
148509455344005,Milka,These ads ran without a disclaimer,45499,3
349984615155,Arauco Maipú,Arauco Maipú,42249,2
56243398247,Parque Arauco,Parque Arauco,40624,2
756450494522524,Andrés Jouannet Diputado,Andrés Alfonso Jouannet Valderrama,40624,5
1157078510981546,Corporación Municipal Gabriel González Videla,Corporación Municipal Gabriel González Videla,39552,4
199662160160090,Arauco Quilicura,Arauco Quilicura,37374,2
121500767864992,Arauco San Antonio,Arauco San Antonio,37374,2
228557190541436,BancoEstado,BancoEstado,36255,7
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,30000,1
207212363097967,Senador José Durana Semir - XV,José Miguel Alberto Durana Semir,21942,2
212672485793114,Frank Sauerbaum,Frank Carlos Sauerbaum Muñoz,20198,4
78239901502,Diario Financiero,Grupo DF,20068,35
1447342118848920,Universidad Adolfo Ibañez,Universidad Adolfo Ibáñez,17420,3
968772086505075,Gerardo Espíndola Rojas,Gerardo Alfredo Espíndola Rojas,17025,2
143360859486032,Alejandro Bernales Maldonado,Alejandro Bernales Maldonado,16824,1
106694028236100,Gerencia de Personas,Gerencia de Personas,14194,5
10152723078,Alejandro Navarro,Alejandro Navarro,13357,2
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,10895,6
410473259375401,Kellu,Kellü,10310,1
1544524942457436,Iván Flores García,Iván Alberto Flores García,10194,1
411851492489649,Somos CMPC,CMPC,10009,1
105216102185508,Cvr_abogados,Cvr_abogados,9931,1
1436530563295625,El Líbero,Sociedad Periodística El Líbero S.A,9903,1
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,8544,7
386634201382499,Marco Enriquez-Ominami,Marco Antonio Enríquez-Ominami Gumucio,7785,1
151676178849005,Felipe Donoso Castro,Felipe Guillermo Donoso Castro,7738,2
102422525535808,FARMACIAS PUNTO BLANCO,Ranko Frane Lenac Pizarro,7628,3
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,7317,7
145925692108470,Educación Continua UC Temuco,UNIVERSIDAD CATÓLICA DE TEMUCO,7307,1
343265652503533,Municipalidad de Puchuncaví,Ilustre Municipalidad de Puchuncaví,7149,7
1409821842658101,Merlín Research,Merlín Research,7000,2
445594468814604,Héctor Ulloa Aguilera,Héctor David Ulloa Aguilera,6754,3
184559421980613,Vlado Mirosevic,Vlado Mirosevic Verdugo,6500,3
181208945236608,Patria Progresista,Patria Progresista,5903,1
106088671518497,Agustín Iglesias Concejal Independencia,Agustin Ignacio Iglesias Munoz,5878,2
100212501623545,Liset Quilodrán Consejera constitucional,Paulina Andrea González Vargas,5831,1
