Location name,Amount spent (SEK)
Blekinge County,6426
Dalarna County,14237
Gotland County,3201
Gävleborg County,13522
Halland County,13773
Jämtland County,6680
Jönköping County,15656
Kalmar County,10148
Kronoberg County,7981
Norrbotten County,11292
Skåne County,63544
Stockholm County,132277
Södermanland County,13641
Unknown,103
Uppsala County,20063
Värmland County,12492
Västerbotten County,13311
Västernorrland County,10946
Västmanland County,12755
Västra Götaland County,81391
Örebro County,13271
Östergötland County,19343
