Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,1334618,8
266016903502005,Senador Carlos Gómez Zelada,Senador Carlos Gómez Zelada,576950,1
102467002671611,Jorge Heisecke,Jorge Heisecke,436221,4
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,366972,1
242118359309178,Ricardo Estigarribia,Douglas Mateus Hendges,322936,4
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,214763,2
107706177740738,Periodismo 29,Periodismo 29,213115,4
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,183751,1
103248988588127,Nestor Castellano Diputado,Liza Concepcion Acosta Avalon,147303,1
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,134862,3
1659775060937880,Guido González,Rosa Agustin Gonzalez,132965,2
103771265752808,Vysokolán,Stephan Vysokolán,117431,2
517426394969535,Ricardo Canese,Ricardo Canese,103463,3
111912341409356,Centinela del Norte,Centinela del Norte,103338,4
498022813689642,Oscar González Drakeford,IMAGEN DE GOBIERNO,103000,3
1468570519872644,Santiago Peña,PRANA SA,102752,1
292909490881181,Carlos Echeverría Intendente,TEJUParaguay,100065,1
1073454492740713,Emmanuel Cuevas,Jorge Emmanuel Cuevas Maciel,99227,1
103040788902949,Concertación Nacional 2023,Rocio Magali Moreno Vera,94224,1
102141339262288,Eligio Colmán,Mario Alberto Velázquez Duarte,89890,1
945217102186450,Vidal Vázquez,Miguel Acosta Benitez,78973,2
943824938962084,Luis Fernando,Luis Carlos Arce,78686,1
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,71898,2
113160524208050,Fernando Marzal 2023,Nueva Tecno,64604,1
110662667866703,Braulio Riquelme Concejal 2021,Braulio Ramon Riquelme Ferreira,62696,2
111967891694362,Osmar Ferreira,IMAGEN DE GOBIERNO,60865,1
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,58176,3
108982768685910,Cynthia Rios Candidata,Wilson Armoa,55266,2
420279778178605,Adelaida Diputada 2023,Adelaida Cantero De Torres,52872,1
1391426980934349,Arnaldo Barreto,Ricky Andreoni Acosta,52604,1
100566575581065,Ramón Montanía,Ramón Montania Fernandez,51376,2
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,51021,1
483666425147964,Richard Ramirez,Richard Rolando Ramirez Rodriguez,49846,1
490637354648727,Ing.Juan Carlos Baruja - Gobernador 2018/2023,Juan Carlos Baruja Fernandez,45863,1
109779868441305,Gaby Russo,Maria Gabriela De Jesus Russo Yubero,40156,2
114574908102864,Alianza VAMOS Por Boquerón,Alianza Vamos Por Boquerón,35557,3
397788123735216,Pey Vargas,Pedro Jose Emmanuel Vargas Carnibella,32823,1
107686348789567,Alberto Ayala,Adan Alberto Ayala,27039,1
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,26601,1
725834240910220,Noticiero Paraguay,Noticiero Paraguay,25633,2
106438588789107,Luis Palacios Intendente,Viviano Baez Gonzalez,25473,2
283555155469151,Nando Gill,Hernando Gill Aguayo,25197,1
107326631853562,Hugo Sosa Pasmor,Maria Alejandra Correa Miño,23945,1
106336272226684,Luis Arias,Luis Ignacio Arias Navarro,23118,2
109186175052605,Nito Chávez Diputado 2023,María Nelly Chavez Brizuela,21292,1
105545157610039,Euclides Acevedo,Euclides Roberto Acevedo Candia,21100,1
388077265097651,Romualdo Bogado,Romualdo Bogado Quiñonez,20524,1
109252182048593,Nestor Martínez Bernal,Viviano Baez Gonzalez,17998,1
105872245439208,Pelusa Senadora,Maria Yolanda Del Rosario Moreno de Ruíz,15740,1
1832577620365172,Eusebio Ramón Ayala Senador 2023,Manu Nuñez Franco,14696,1
106682318781403,Rafaela Guanes Senadora,Rafaela Guanes,14679,1
724051717643013,Miguel Prieto,Celso Kevin Ramon Sánchez Florentin,14437,1
279495618730067,MANUEL RADICE,Manuel Radice,13545,1
245812636069338,Carlos Báez - Concejal Municipal,Viviano Baez Gonzalez,12000,1
769841676551533,Mirta González,KaiAriel,10505,1
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,10182,1
100265174952816,Cesarito Sosa,César Luis Sosa Fariña,8652,1
1365651890238610,Soberanía Paraguay,Prensa_Py,8091,1
459778430886026,Posgrado Universidad Columbia,Posgrado Columbia,8051,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,7851,1
110665567053224,DimartinoIntendente,Jorge Dimartino,7567,1
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,7443,1
108232338616875,María Stela Invernizzi,Alejandro David Fernandez Silva,7339,1
131602424169035,Oxfam en Español,These ads ran without a disclaimer,7339,1
106582034373518,Esther Roa,Maria Esther Roa De Espinola,7101,1
222961017827862,Edgar Olmedo,Edgar Olmedo,4575,1
101840779897426,Cristian Cardozo,Cristian Antonio Cardozo Villalba,3503,1
107326631853562,Hugo Sosa Pasmor,These ads ran without a disclaimer,3356,1
110874571760090,esconesi,These ads ran without a disclaimer,1064,1
1386037631635162,Hugo Ramírez,Nahuel Ayala Gomez,970,1
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,1
17973644177,Global Peace Foundation,These ads ran without a disclaimer,≤100,1
106518195610937,1111_ta,These ads ran without a disclaimer,≤100,1
105257432441286,T1215-7,These ads ran without a disclaimer,≤100,1
476074759088667,Appeal of Conscience Foundation,These ads ran without a disclaimer,≤100,1
2022127751136355,Amity International School Amsterdam,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
492984144218541,Morning Worship Moment,These ads ran without a disclaimer,≤100,1
104980492469454,T1215-4,These ads ran without a disclaimer,≤100,1
101801685891012,Revista Knowable,These ads ran without a disclaimer,≤100,1
