Location name,Amount spent (UYU)
Artigas Department,317
Canelones Department,586
Cerro Largo Department,311
Colonia Department,427
Durazno Department,189
Flores Department,≤100
Florida Department,181
Lavalleja Department,147
Maldonado Department,311
Montevideo Department,6062
Paysandú Department,289
Rivera Department,613
Rocha Department,210
Río Negro Department,160
Salto Department,476
San José Department,178
Soriano Department,244
Tacuarembó Department,268
Treinta y Tres Department,196
Unknown,≤100
