Location name,Amount spent (CAD)
Alberta,22016
British Columbia,8234
Manitoba,2587
New Brunswick,786
Newfoundland and Labrador,670
Northwest Territories,144
Nova Scotia,1329
Nunavut,≤100
Ontario,22872
Prince Edward Island,248
Quebec,10833
Saskatchewan,2959
Unknown,238
Yukon,107
