Location name,Amount spent (ZAR)
Eastern Cape,1708
Free State,1154
Gauteng,8031
KwaZulu-Natal,2500
Limpopo,926
Mpumalanga,1011
North West,665
Northern Cape,431
Unknown,≤100
Western Cape,9355
