Location name,Amount spent (CHF)
Aargau,156
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,111
Basel-Landschaft,≤100
Bern,247
Canton of Geneva,230
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,101
Fribourg,152
Graubünden,≤100
Jura,≤100
Luzern,≤100
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,163
Solothurn,≤100
Thurgau,≤100
Ticino,119
Unknown,≤100
Uri,≤100
Valais,151
Vaud,332
Zug,≤100
Zürich,643
