Location name,Amount spent (ZAR)
Eastern Cape,1239
Free State,709
Gauteng,4530
KwaZulu-Natal,2317
Limpopo,681
Mpumalanga,622
North West,539
Northern Cape,844
Unknown,≤100
Western Cape,7679
