Location name,Amount spent (PEN)
Amazonas Region,122
Ancash Region,438
Apurímac Region,125
Arequipa Region,538
Ayacucho Region,228
Cajamarca Region,405
Callao,196
Cusco Region,426
Huancavelica Region,≤100
Huánuco Region,220
Ica Region,436
Junín Region,429
La Libertad Region,938
Lambayeque Region,508
Lima Region,3296
Loreto Region,349
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,662
Puno Region,422
San Martín Region,306
Tacna Region,137
Tumbes Region,≤100
Ucayali Region,228
Unknown,≤100
