Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,383000,15
101323289461536,CIC Daily,These ads ran without a disclaimer,63787,2
106476091689860,Bartra Wealth Advisors,Bartra Wealth Advisors,52696,4
192195994956428,Tài Liệu Thi Viên Chức Giáo Viên,Tài Liệu Thi Viên Chức Giáo Viên,52239,1
101865258169428,ĐEN Secondhand,ĐEN Secondhand,31037,1
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,26793,1
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,25843,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,6205,2
831304670221434,僑務委員會 OCAC,These ads ran without a disclaimer,1561,1
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,1
103966322417697,"Jiangxi, China",These ads ran without a disclaimer,≤100,1
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,3
111594948406815,Watt Munisotaram,These ads ran without a disclaimer,≤100,1
112365658112975,raremints,These ads ran without a disclaimer,≤100,1
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,≤100,1
111508197374332,ADB Southeast Asia Development Solutions - SEADS,These ads ran without a disclaimer,≤100,1
622390311179612,وقف الأمة Ümmet Vakfı,These ads ran without a disclaimer,≤100,1
101655275698,Amazing Thailand,These ads ran without a disclaimer,≤100,1
