Location name,Amount spent (HUF)
Baranya County,90923
Borsod-Abaúj-Zemplén County,135182
Budapest,525719
Bács-Kiskun County,105572
Békés County,75678
Csongrád County,82820
Fejér County,97698
Győr-Moson-Sopron County,91855
Hajdú-Bihar County,104903
Heves County,95821
Jász-Nagykun-Szolnok County,104444
Komárom-Esztergom County,67552
Nógrád County,42108
Pest County,230497
Somogy County,64910
Szabolcs-Szatmár-Bereg County,111997
Tolna County,50055
Unknown,≤100
Vas County,55869
Veszprém County,73591
Zala County,69483
