Location name,Amount spent (PKR)
Azad Kashmir,1508
Balochistan,1668
Federally Administered Tribal Areas,472
Gilgit-Baltistan,923
Islamabad Capital Territory,2538
Khyber Pakhtunkhwa,11185
Punjab,43145
Sindh,17844
Unknown,≤100
