Location name,Amount spent (ZAR)
Eastern Cape,1239
Free State,661
Gauteng,9955
KwaZulu-Natal,1814
Limpopo,537
Mpumalanga,634
North West,379
Northern Cape,284
Unknown,≤100
Western Cape,7691
