Location name,Amount spent (TWD)
Changhua,7897
Chiayi,1726
Hsinchu,4953
Hsinchu City,5944
Hualien,3418
Kaohsiung,26525
Keelung City,3031
Kinmen,750
Lienchiang,≤100
Miaoli,3660
Nantou,3170
New Taipei City,40937
Penghu,606
Pingtung,5120
Taichung,26851
Tainan,16679
Taipei,34508
Taitung,1652
Taoyuan City,25507
Unknown,3251
Yilan,2796
Yunlin,4359
