Location name,Amount spent (EUR)
Alsace,795
Aquitaine,1602
Auvergne,455
Basse-Normandie,514
Bourgogne,697
Bretagne,1240
Centre,970
Champagne-Ardenne,461
Corse,205
Franche-Comté,392
French Guiana,≤100
French Polynesia,111
Guadeloupe,≤100
Haute-Normandie,759
Languedoc-Roussillon,1385
Limousin,266
Lorraine,919
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1351
New Caledonia,≤100
Nord-Pas-de-Calais,1475
Pays de la Loire,1366
Picardie,648
Poitou-Charentes,674
Provence-Alpes-Côte d'Azur,2778
Reunion Island,323
Rhône-Alpes,2984
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8663
