Location name,Amount spent (SEK)
Blekinge County,7511
Dalarna County,15125
Gotland County,3660
Gävleborg County,14698
Halland County,16078
Jämtland County,6929
Jönköping County,16725
Kalmar County,10867
Kronoberg County,8792
Norrbotten County,13186
Skåne County,64858
Stockholm County,119005
Södermanland County,14894
Unknown,≤100
Uppsala County,19466
Värmland County,13139
Västerbotten County,13368
Västernorrland County,12412
Västmanland County,13040
Västra Götaland County,97156
Örebro County,14676
Östergötland County,21055
