Location name,Amount spent (ZAR)
Eastern Cape,489
Free State,459
Gauteng,1512
KwaZulu-Natal,855
Limpopo,627
Mpumalanga,311
North West,203
Northern Cape,≤100
Unknown,≤100
Western Cape,1288
