Location name,Amount spent (MXN)
Aguascalientes,11198
Baja California,20646
Baja California Sur,4952
Campeche,9468
Chiapas,11196
Chihuahua,22531
Coahuila de Zaragoza,39196
Colima,11688
Distrito Federal,78320
Durango,6785
Guanajuato,21149
Guerrero,7691
Hidalgo,9790
Jalisco,93764
Michoacán de Ocampo,23873
Morelos,9877
Nayarit,4085
Nuevo León,38672
Oaxaca,10062
Puebla,18123
Querétaro Arteaga,14589
Quintana Roo,11990
San Luis Potosi,14803
Sinaloa,8830
Sonora,14483
State of Mexico,125554
Tabasco,7336
Tamaulipas,18747
Tlaxcala,4636
Unknown,≤100
Veracruz,25501
Yucatán,30437
Zacatecas,3535
