Location name,Amount spent (EUR)
Alsace,591
Aquitaine,1299
Auvergne,379
Basse-Normandie,394
Bourgogne,460
Bretagne,1010
Centre,852
Champagne-Ardenne,397
Corse,130
Franche-Comté,316
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,713
Languedoc-Roussillon,1221
Limousin,203
Lorraine,717
Martinique,≤100
Mayotte,104
Midi-Pyrénées,1014
New Caledonia,≤100
Nord-Pas-de-Calais,1521
Pays de la Loire,1567
Picardie,623
Poitou-Charentes,555
Provence-Alpes-Côte d'Azur,2367
Reunion Island,114
Rhône-Alpes,2189
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4569
