Location name,Amount spent (EGP)
Al Sharqia Governorate,3269
Alexandria Governorate,3345
Aswan Governorate,585
Asyut Governorate,1283
Beheira Governorate,1996
Beni Suef Governorate,861
Cairo Governorate,7932
Dakahlia Governorate,4661
Damietta Governorate,1090
Faiyum Governorate,918
Gharbia Governorate,2992
Giza Governorate,2469
Ismailia Governorate,657
Kafr el-Sheikh Governorate,1590
Luxor Governorate,400
Matrouh Governorate,163
Minya Governorate,1500
Monufia Governorate,2056
New Valley Governorate,160
North Sinai Governorate,258
Port Said Governorate,638
Qalyubia Governorate,2178
Qena Governorate,978
Red Sea Governorate,310
Sohag Governorate,1486
South Sinai Governorate,139
Suez Governorate,462
Unknown,≤100
