Location name,Amount spent (VND)
An Giang Province,54021
Bà Rịa–Vũng Tàu Province,62233
Bình Dương Province,135149
Bình Phước Province,29267
Bình Thuận Province,22906
Bình Định Province,90368
Bạc Liêu Province,27171
Bắc Giang Province,46451
Bắc Kạn Province,7233
Bắc Ninh Province,54485
Bến Tre Province,18869
Cao Bằng Province,129847
Cà Mau Province,19358
Cần Thơ,38650
Da Nang,54907
Gia Lai Province,25687
Haiphong,51753
Ho Chi Minh City,424046
Hà Giang Province,14471
Hà Nam Province,10292
Hà Tĩnh Province,389806
Hòa Bình Province,15529
Hưng Yên Province,14710
Hải Dương Province,27742
Hậu Giang Province,10519
Khánh Hòa Province,46315
Kiên Giang Province,32493
Kon Tum Province,9394
Lai Châu Province,2905
Long An Province,37298
Lào Cai Province,17978
Lâm Đồng Province,25162
Lạng Sơn Province,12548
Nam Định Province,44977
Nghệ An Province,901710
Ninh Bình Province,15793
Ninh Thuận Province,9719
Phú Thọ Province,22546
Phú Yên Province,16374
Quảng Bình Province,14247
Quảng Nam Province,30450
Quảng Ngãi Province,18541
Quảng Ninh Province,45462
Quảng Trị Province,11313
Sóc Trăng Province,26719
Sơn La Province,18490
Thanh Hóa Province,75234
Thái Bình Province,22170
Thái Nguyên Province,40689
Thừa Thiên–Huế Province,31456
Tiền Giang Province,46925
Trà Vinh Province,15960
Tuyên Quang Province,14935
Tây Ninh Province,22571
Unknown,≤100
Vĩnh Long Province,14702
Vĩnh Phúc Province,22443
Yên Bái Province,65710
Điện Biên Province,12011
Đắk Lắk Province,103856
Đắk Nông Province,12194
Đồng Nai Province,102220
Đồng Tháp Province,20868
