Location name,Amount spent (EGP)
Al Sharqia Governorate,2567
Alexandria Governorate,1328
Aswan Governorate,207
Asyut Governorate,556
Beheira Governorate,812
Beni Suef Governorate,332
Cairo Governorate,4119
Dakahlia Governorate,1412
Damietta Governorate,581
Faiyum Governorate,548
Gharbia Governorate,1476
Giza Governorate,1532
Ismailia Governorate,639
Kafr el-Sheikh Governorate,546
Luxor Governorate,154
Matrouh Governorate,≤100
Minya Governorate,654
Monufia Governorate,822
New Valley Governorate,≤100
North Sinai Governorate,104
Port Said Governorate,313
Qalyubia Governorate,897
Qena Governorate,365
Red Sea Governorate,132
Sohag Governorate,517
South Sinai Governorate,≤100
Suez Governorate,161
Unknown,≤100
