Location name,Amount spent (SAR)
'Asir Region,196
Al Bahah Region,≤100
Al Jawf Region,≤100
Al Madinah Region,375
Al-Qassim Province,261
Eastern Province,1654
Ha'il Region,102
Jizan Region,125
Makkah Region,2016
Najran Region,≤100
Northern Borders Region,≤100
Riyadh Region,2427
Tabuk Region,152
Unknown,≤100
