Location name,Amount spent (RON)
Alba County,834
Arad County,1089
Argeș County,1081
Bacău County,1289
Bihor County,1246
Bistrița-Năsăud County,589
Botoșani County,616
Brașov County,1293
Brăila County,566
Bucharest,6006
Buzău County,748
Caraș-Severin County,520
Cluj County,1928
Constanța County,1595
Covasna County,521
Călărași County,478
Dolj County,1286
Dâmbovița County,1007
Galați County,918
Giurgiu County,519
Gorj County,753
Harghita County,839
Hunedoara County,957
Ialomița County,348
Iași County,2712
Ilfov County,734
Maramureș County,857
Mehedinți County,503
Mureș County,1483
Neamț County,1576
Olt County,537
Prahova County,1493
Satu Mare County,780
Sibiu County,1057
Suceava County,1664
Sălaj County,481
Teleorman County,468
Timiș County,2002
Tulcea County,343
Unknown,≤100
Vaslui County,592
Vrancea County,563
Vâlcea County,607
