Location name,Amount spent (ARS)
Buenos Aires,2720579
Catamarca,41675
Chaco,45759
Chubut,74876
Ciudad Autónoma de Buenos Aires,392597
Corrientes,35738
Córdoba,2391309
Entre Rios,133349
Formosa,15798
Jujuy,14509
La Pampa,228263
La Rioja,20801
Mendoza,41765
Misiones,21126
Neuquén,98921
Río Negro,27194
Salta,55232
San Juan,69095
San Luis,72056
Santa Cruz,5215
Santa Fe,463549
Santiago del Estero,11539
Tierra del Fuego,26025
Tucuman,37147
Unknown,114
