Location name,Amount spent (THB)
Amnat Charoen,107
Ang Thong,≤100
Ayutthaya,424
Bangkok,8921
Bueng Kan,≤100
Buriram,254
Chachoengsao,159
Chai Nat,207
Chaiyaphum,155
Chanthaburi,118
Chiang Mai,445
Chiang Rai,223
Chon Buri,877
Chumphon,345
Kalasin,148
Kamphaeng Phet,114
Kanchanaburi,167
Khon Kaen,299
Krabi,309
Lampang,158
Lamphun,≤100
Loei,107
Lop Buri,138
Mae Hong Son,≤100
Maha Sarakham,175
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,322
Nakhon Phanom,121
Nakhon Ratchasima,491
Nakhon Sawan,188
Nakhon Si Thammarat,1737
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,487
Pathum Thani,395
Pattani,240
Phangnga,241
Phatthalung,374
Phayao,203
Phetchabun,154
Phetchaburi,399
Phichit,175
Phitsanulok,1364
Phrae,≤100
Phuket,2195
Prachin Buri,103
Prachuap Khiri Khan,249
Ranong,104
Ratchaburi,175
Rayong,497
Roi Et,229
Sa Kaeo,≤100
Sakon Nakhon,174
Samut Prakan,293
Samut Sakhon,215
Samut Songkhram,232
Saraburi,143
Satun,176
Sing Buri,≤100
Sisaket,321
Songkhla,1547
Sukhothai,114
Suphan Buri,210
Surat Thani,5526
Surin,484
Tak,114
Trang,214
Trat,≤100
Ubon Ratchathani,386
Udon Thani,238
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,115
Yasothon,285
