Location name,Amount spent (AUD)
Australian Capital Territory,1513
Jervis Bay Territory,≤100
New South Wales,76797
Norfolk Island,≤100
Northern Territory,676
Queensland,10890
South Australia,4107
Tasmania,1670
Unknown,≤100
Victoria,14758
Western Australia,5627
