Location name,Amount spent (HTG)
Artibonite Department,185
Centre Department,≤100
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,153
Nord-Est Department,≤100
Nord-Ouest Department,≤100
Ouest Department,611
Sud Department,≤100
Sud-Est Department,≤100
