Location name,Amount spent (NZD)
Auckland Region,3718
Bay of Plenty Region,722
Canterbury,1122
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,303
Manawatu-Wanganui,601
Marlborough Region,110
Nelson Province,≤100
Niue,≤100
Northland Region,453
Otago,592
Southland,187
Taranaki,268
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,1067
Wellington Region,860
West Coast,≤100
