Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
118509607841340,Texas Solar Group,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
111541943735996,Egoproof,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
823788047675556,Call of War,These ads ran without a disclaimer,≤100,2
144639479449243,Ambiente de Leitura Carlos Romero,These ads ran without a disclaimer,≤100,1
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,1
188872144758,CCTV,These ads ran without a disclaimer,≤100,1
1515909005308067,"Discover Nanjing, China",These ads ran without a disclaimer,≤100,1
