Location name,Amount spent (NOK)
Akershus,2226
Aust-Agder,354
Buskerud,877
Finnmark,289
Hedmark,577
Hordaland,1704
Møre og Romsdal,1318
Nord-Trøndelag,400
Nordland,831
Oppland,573
Oslo,4143
Rogaland,1757
Sogn og Fjordane,313
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,1141
Telemark,527
Troms,775
Unknown,≤100
Vest-Agder,843
Vestfold,792
Østfold,911
