Location name,Amount spent (JMD)
Clarendon Parish,154
Hanover Parish,≤100
Manchester Parish,154
Portland Parish,≤100
Saint Andrew Parish,615
Saint Ann Parish,154
Saint Catherine Parish,308
Saint Elizabeth Parish,154
Saint James Parish,154
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Westmoreland Parish,≤100
