Location name,Amount spent (COP)
Amazonas,1492
Antioquia,1804253
Arauca,12201
Atlantico,671141
Bolivar,224049
Boyaca,88920
Caldas,290122
Caqueta,19607
Casanare,28719
Cauca,262427
Cesar,75849
Choco,12486
Cordoba,97118
Cundinamarca,279958
Distrito Especial,4889300
Guainia,1212
Guaviare,7063
Huila,164501
La Guajira,31507
Magdalena,153626
Meta,127495
Narino,134707
Norte de Santander,274967
Putumayo,61240
Quindio,134514
Risaralda,524356
San Andres y Providencia,3734
Santander,178323
Sucre,68388
Tolima,155446
Unknown,≤100
Valle del Cauca,3077320
Vaupes,748
Vichada,1071
