Location name,Amount spent (DKK)
Capital Region of Denmark,46300
Central Denmark Region,24085
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11761
Region of Southern Denmark,23520
Unknown,≤100
Zealand Region,18937
