Location name,Amount spent (MXN)
Aguascalientes,5770
Baja California,15588
Baja California Sur,2156
Campeche,13541
Chiapas,8497
Chihuahua,35264
Coahuila de Zaragoza,68118
Colima,3965
Distrito Federal,109898
Durango,4699
Guanajuato,65453
Guerrero,6686
Hidalgo,7880
Jalisco,107978
Michoacán de Ocampo,20547
Morelos,10427
Nayarit,4483
Nuevo León,85757
Oaxaca,7553
Puebla,20080
Querétaro Arteaga,13714
Quintana Roo,27342
San Luis Potosi,17746
Sinaloa,7343
Sonora,9854
State of Mexico,66728
Tabasco,4270
Tamaulipas,17749
Tlaxcala,5019
Unknown,≤100
Veracruz,20125
Yucatán,20362
Zacatecas,3327
