Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
171169022896525,Guaraná Antarctica,Ambev,42063,3
301774903545521,Brasil Paralelo,Brasil Paralelo,39546,215
104625758942119,Siga Antenado,"ASSOCIACAO ADMINISTRADORA DA FAIXA DE 3,5 GHZ - EAF",16056,78
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,13271,314
112830251033781,Tiger,GRUPO HEINEKEN,4850,1
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,4639,2
159103797542,Greenpeace Brasil,Greenpeace Brasil,4370,229
465235726843103,Ambev,Ambev,4212,12
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,3356,4
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,1991,23
112021296931600,Mônica Lopes,IBPOM,1787,146
1894520370802455,Governo do Brasil,Secretaria Especial de Comunicação Social -Governo do Brasil,1747,6
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,1698,214
1124473760957316,FS Fueling Sustainability,FS Fueling Sustainability,1602,6
137389166280413,Estácio,These ads ran without a disclaimer,1165,2
196452727048562,Governo do Rio Grande do Sul,SECRETARIA DE COMUNICAÇÃO,1139,14
329948620416635,Marcelo Cid Heráclito Queiroz,Marcelo Cid Heraclito Do Porto Queiroz,1029,7
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,1014,13
105181041926908,Darwin Seguros,These ads ran without a disclaimer,987,4
255804437808407,Vale,These ads ran without a disclaimer,974,4
101189854802059,Revista Oeste,Revista Oeste,833,8
113005112093720,Aldo Solar,Aldo Solar,804,2
255804437808407,Vale,Vale,795,2
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,793,13
330379553673497,Oxfam Brasil,Oxfam Brasil,774,80
367980806622995,Bruna Furlan Deputada Estadual,Bruna Furlan,754,81
224777780881144,Visão Mundial,Visão Mundial,740,15
113165042099382,Brasil 61,Brasil 61,656,15
314916388685112,Deputado Val Ceasa,Roosevelt Barcelos,622,2
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,576,156
258088921369,TOTVS,TOTVS,572,6
2042769135946787,Special Dog Company,These ads ran without a disclaimer,571,3
110231373695200,Shopee,These ads ran without a disclaimer,570,1
1767220630177139,Animal Equality Brasil,Animal Equality Brasil,549,4
110647840532680,Merge Mayor,These ads ran without a disclaimer,532,1
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,530,35
1087471917938156,Sistema Fecomércio RJ,Fecomércio RJ,500,5
224919339507698,Tecendo Redes na Primeira Infância,These ads ran without a disclaimer,500,1
7970426802,WWF-Brasil,WWF-Brasil,492,40
493279007447747,BRK,These ads ran without a disclaimer,491,4
380752075612906,Deputado Cezar,Antonio da Rocha Marmo Cezar,473,15
239977579362882,Blue3,Blue3 Investimentos,473,5
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,465,10
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,450,22
152338908863109,William Dornela,William Dornela,439,65
140386962704024,Governo de Pernambuco,Governo de Pernambuco,427,12
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,406,3
110225312350543,Nova Escola,Associação Nova Escola,392,23
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,391,10
105933125105087,Aqui Pela Saúde Dela,Organon,383,3
165175370206522,Citi Brasil,Citi Brasil,371,2
111241944518289,Legislativo na Prática,Instituto Dankemo,367,108
201878973201295,Republicanos10,Republicanos10,358,7
274527822566791,Ciro Nogueira,Ciro Nogueira,355,2
109918909035681,Cerveja Brahma Oficial,Ambev,351,1
143668009023877,Itaú Social,These ads ran without a disclaimer,350,1
197587446941661,Valor Econômico,Editora Globo,348,1
160820277348919,Coren-RJ,Coren-RJ,347,3
263199020531986,JOTA,JOTA,346,11
124632230915020,Luciana Genro,Luciana Krebs Genro,320,17
263563620333111,Eduardo Braga,Carlos Braga,308,4
422665284772249,Fernando Ulrich,Liberta Agentes Autonomos de Investimentos S/s LTDA,300,4
167035830067775,Prefeitura de Canoas,PREFEITURA DE CANOAS,293,5
1611963792244876,Ana Paula Siqueira,Ana Siqueira,282,3
