Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,346
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,126
Erbil Governorate,368
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,124
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,122
Saladin Governorate,114
Sulaymaniyah Governorate,324
Unknown,≤100
Wasit Governorate,≤100
