Location name,Amount spent (MXN)
Aguascalientes,5272
Baja California,19798
Baja California Sur,2619
Campeche,7864
Chiapas,10702
Chihuahua,20662
Coahuila de Zaragoza,24256
Colima,2483
Distrito Federal,63797
Durango,4942
Guanajuato,12856
Guerrero,8408
Hidalgo,7614
Jalisco,44314
Michoacán de Ocampo,17781
Morelos,5296
Nayarit,3202
Nuevo León,33824
Oaxaca,7481
Puebla,15467
Querétaro Arteaga,11455
Quintana Roo,5422
San Luis Potosi,8487
Sinaloa,8279
Sonora,13382
State of Mexico,87821
Tabasco,7122
Tamaulipas,23743
Tlaxcala,2895
Unknown,≤100
Veracruz,21935
Yucatán,33019
Zacatecas,3661
