Location name,Amount spent (INR)
Andaman and Nicobar Islands,538
Andhra Pradesh,35875
Arunachal Pradesh,3014
Assam,37174
Bihar,134764
Chandigarh,5029
Chhattisgarh,49972
Dadra and Nagar Haveli,2015
Delhi,77978
Goa,3907
Gujarat,97615
Haryana,60973
Himachal Pradesh,20632
Jammu and Kashmir,34255
Jharkhand,39737
Karnataka,158919
Kerala,36817
Lakshadweep,≤100
Madhya Pradesh,116404
Maharashtra,275011
Manipur,4292
Meghalaya,96321
Mizoram,1864
Nagaland,4449
Odisha,43785
Puducherry,4086
Punjab region,57680
Rajasthan,141294
Sikkim,1885
Tamil Nadu,99623
Telangana,54329
Tripura,103271
Unknown,120
Uttar Pradesh,257733
Uttarakhand,23055
West Bengal,116598
