Location name,Amount spent (EUR)
Alsace,438
Aquitaine,598
Auvergne,179
Basse-Normandie,272
Bourgogne,243
Bretagne,518
Centre,402
Champagne-Ardenne,180
Corse,≤100
Franche-Comté,179
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,396
Languedoc-Roussillon,635
Limousin,≤100
Lorraine,532
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,485
New Caledonia,≤100
Nord-Pas-de-Calais,591
Pays de la Loire,781
Picardie,246
Poitou-Charentes,257
Provence-Alpes-Côte d'Azur,1189
Reunion Island,≤100
Rhône-Alpes,1131
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2254
