Location name,Amount spent (IDR)
Aceh,4792362
Bali,3242334
Bangka–Belitung Islands,790531
Banten,6977847
Bengkulu,1572488
Central Java,16955081
Central Kalimantan,1393357
Central Sulawesi,1867246
East Java,14304561
East Kalimantan,3812873
East Nusa Tenggara,3931235
Gorontalo,1163232
Jakarta,19230011
Jambi,1823470
Lampung,5726489
Maluku,3411647
North Kalimantan,746811
North Maluku,917515
North Sulawesi,5559733
North Sumatra,7915815
Papua (province),1245889
Riau,3720166
Riau Islands Province,1713450
South Kalimantan,2170330
South Sulawesi,8856059
South Sumatra,8604683
Southeast Sulawesi,1540425
Special Region of Yogyakarta,1978556
Unknown,33760
West Java,24227078
West Kalimantan,3361590
West Nusa Tenggara,2511269
West Papua,761887
West Sulawesi,940737
West Sumatra,4439010
