Location name,Amount spent (IDR)
Aceh,1366804
Bali,2713304
Bangka–Belitung Islands,587485
Banten,3442021
Bengkulu,1087890
Central Java,11992884
Central Kalimantan,1268104
Central Sulawesi,1389145
East Java,18372275
East Kalimantan,2607836
East Nusa Tenggara,2790774
Gorontalo,951966
Jakarta,5825965
Jambi,1536650
Lampung,2866106
Maluku,912219
North Kalimantan,414969
North Maluku,935963
North Sulawesi,2446022
North Sumatra,5344200
Papua (province),1282959
Riau,3276411
Riau Islands Province,1140903
South Kalimantan,1332082
South Sulawesi,4644973
South Sumatra,2786760
Southeast Sulawesi,1504583
Special Region of Yogyakarta,1440437
Unknown,3154
West Java,15613600
West Kalimantan,2498648
West Nusa Tenggara,2603835
West Papua,533480
West Sulawesi,705420
West Sumatra,2170337
