Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,531698
Apure,259057
Aragua,536226
Barinas,304057
Bolívar (state),527170
Capital District,2304339
Carabobo,712186
Cojedes,9057
Delta Amacuro,≤100
Falcón,268113
Guárico,263585
Lara,527170
Miranda (state),377023
Monagas,269923
Mérida,268113
Nueva Esparta,6498601
Portuguesa,268113
Sucre,272641
Trujillo,263585
Táchira,513585
Unknown,≤100
Vargas,4528
Yaracuy,263585
Zulia,3549811
