Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,202
Apurímac Region,≤100
Arequipa Region,291
Ayacucho Region,122
Cajamarca Region,174
Callao,113
Cusco Region,240
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,196
Junín Region,192
La Libertad Region,303
Lambayeque Region,198
Lima Region,2861
Loreto Region,108
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,285
Puno Region,226
San Martín Region,131
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
