Location name,Amount spent (CAD)
Alberta,9073
British Columbia,9318
Manitoba,3083
New Brunswick,1348
Newfoundland and Labrador,782
Northwest Territories,≤100
Nova Scotia,1510
Nunavut,≤100
Ontario,21649
Prince Edward Island,555
Quebec,15481
Saskatchewan,2838
Unknown,≤100
Yukon,≤100
