Location name,Amount spent (EGP)
Al Sharqia Governorate,2667
Alexandria Governorate,1316
Aswan Governorate,218
Asyut Governorate,487
Beheira Governorate,691
Beni Suef Governorate,310
Cairo Governorate,4008
Dakahlia Governorate,1030
Damietta Governorate,325
Faiyum Governorate,464
Gharbia Governorate,878
Giza Governorate,1325
Ismailia Governorate,439
Kafr el-Sheikh Governorate,500
Luxor Governorate,154
Matrouh Governorate,131
Minya Governorate,562
Monufia Governorate,585
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,404
Qalyubia Governorate,1319
Qena Governorate,344
Red Sea Governorate,110
Sohag Governorate,508
South Sinai Governorate,≤100
Suez Governorate,128
Unknown,≤100
