Location name,Amount spent (SEK)
Blekinge County,3252
Dalarna County,6382
Gotland County,1371
Gävleborg County,6870
Halland County,5788
Jämtland County,3426
Jönköping County,7197
Kalmar County,4733
Kronoberg County,3736
Norrbotten County,5669
Skåne County,29696
Stockholm County,51869
Södermanland County,6472
Unknown,≤100
Uppsala County,8840
Värmland County,5621
Västerbotten County,6037
Västernorrland County,5441
Västmanland County,5474
Västra Götaland County,36873
Örebro County,6151
Östergötland County,9379
