Location name,Amount spent (ZAR)
Eastern Cape,1205
Free State,535
Gauteng,3570
KwaZulu-Natal,1301
Limpopo,590
Mpumalanga,633
North West,470
Northern Cape,221
Unknown,≤100
Western Cape,5866
