Location name,Amount spent (CAD)
Alberta,18340
British Columbia,8117
Manitoba,2479
New Brunswick,1469
Newfoundland and Labrador,786
Northwest Territories,307
Nova Scotia,1374
Nunavut,224
Ontario,19950
Prince Edward Island,263
Quebec,11133
Saskatchewan,1984
Unknown,≤100
Yukon,259
