Location name,Amount spent (PKR)
Azad Kashmir,1275
Balochistan,2324
Federally Administered Tribal Areas,299
Gilgit-Baltistan,1045
Islamabad Capital Territory,8264
Khyber Pakhtunkhwa,12417
Punjab,38255
Sindh,15408
Unknown,≤100
