Location name,Amount spent (USD)
Alabama,18179
Alaska,3395
American Samoa,≤100
Arizona,30718
Arkansas,11580
California,134516
Colorado,21146
Connecticut,11386
Delaware,3974
Florida,94341
Georgia,37063
Guam,≤100
Hawaii,4004
Idaho,6909
Illinois,43511
Indiana,24145
Iowa,16189
Kansas,13405
Kentucky,18380
Louisiana,21349
Maine,4685
Maryland,25416
Massachusetts,22896
Michigan,38430
Minnesota,26074
Mississippi,14019
Missouri,21985
Montana,6087
Nebraska,7020
Nevada,17084
New Hampshire,7975
New Jersey,41888
New Mexico,8161
New York,71820
North Carolina,41489
North Dakota,2080
Northern Mariana Islands,≤100
Ohio,69771
Oklahoma,16715
Oregon,16886
Pennsylvania,53362
Puerto Rico,≤100
Rhode Island,4021
South Carolina,22579
South Dakota,2433
Tennessee,31994
Texas,118152
Unknown,123
Utah,11733
Vermont,2152
Virgin Islands (U.S.),≤100
Virginia,37335
Washington,27816
"Washington, District of Columbia",13472
West Virginia,8369
Wisconsin,24092
Wyoming,1966
