Location name,Amount spent (INR)
Andaman and Nicobar Islands,201
Andhra Pradesh,36441
Arunachal Pradesh,1277
Assam,15977
Bihar,83923
Chandigarh,4114
Chhattisgarh,93907
Dadra and Nagar Haveli,609
Delhi,45523
Goa,3209
Gujarat,53096
Haryana,40800
Himachal Pradesh,11592
Jammu and Kashmir,6829
Jharkhand,16875
Karnataka,38439
Kerala,13169
Lakshadweep,≤100
Madhya Pradesh,276504
Maharashtra,162520
Manipur,255
Meghalaya,634
Mizoram,1379
Nagaland,487
Odisha,10427
Puducherry,648
Punjab region,29201
Rajasthan,381265
Sikkim,667
Tamil Nadu,86430
Telangana,83663
Tripura,1588
Unknown,≤100
Uttar Pradesh,101967
Uttarakhand,14659
West Bengal,29200
