Location name,Amount spent (NZD)
Auckland Region,2886
Bay of Plenty Region,389
Canterbury,748
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,200
Manawatu-Wanganui,329
Marlborough Region,≤100
Nelson Province,≤100
Niue,≤100
Northland Region,255
Otago,446
Southland,136
Taranaki,154
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,488
Wellington Region,527
West Coast,≤100
