Location name,Amount spent (USD)
Azuay Province,662
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,≤100
Cotopaxi Province,≤100
El Oro Province,814
Esmeraldas Province,312
Galápagos Province,≤100
Guayas Province,1840
Imbabura Province,180
Loja Province,123
Los Ríos Province,672
Manabí Province,766
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1280
Santa Elena Province,107
Santo Domingo de los Tsáchilas Province,989
Sucumbíos Province,111
Tungurahua Province,155
Unknown,≤100
Zamora-Chinchipe Province,≤100
