Location name,Amount spent (EUR)
Abruzzo,673
Aosta Valley,≤100
Basilicata,231
Calabria,721
Campania,2379
Emilia-Romagna,1964
Friuli-Venezia Giulia,491
Lazio,4511
Liguria,910
Lombardia,6221
Marche,610
Molise,111
Piedmont,2097
Puglia,1889
Sardinia,788
Sicilia,1965
Trentino-Alto Adige,373
Tuscany,1917
Umbria,416
Unknown,≤100
Veneto,1585
